Year,Month,StartDate,EndDate,DaysInEffect,MinsInEffect,ClosestDistance,MaxSignal,TotalRainfall
2000,6,18/6/2000,19/6/2000,2,270,10,3,111
2000,7,6/7/2000,9/7/2000,4,3715,530,1,115.5
2000,7,15/7/2000,16/7/2000,2,1840,500,1,20
2000,8,23/8/2000,23/8/2000,1,795,430,1,9.5
2000,8,27/8/2000,29/8/2000,3,2320,220,1,25
2000,8,31/8/2000,1/9/2000,2,1625,100,3,59.5
2000,9,6/9/2000,9/9/2000,4,3840,370,3,12
2000,11,4/11/2000,8/11/2000,5,5340,150,1,40
2001,6,22/6/2001,23/6/2001,2,1260,520,1,0.5
2001,6,30/6/2001,2/7/2001,3,2980,340,3,72
2001,7,4/7/2001,7/7/2001,4,3935,80,8,137.5
2001,7,23/7/2001,26/7/2001,4,3385,180,8,74.5
2001,8,28/8/2001,30/8/2001,3,1830,320,1,136.5
2001,9,19/9/2001,20/9/2001,2,1825,90,3,47
2002,8,3/8/2002,5/8/2002,3,2980,130,1,23.5
2002,8,17/8/2002,20/8/2002,4,3345,390,1,111
2002,9,10/9/2002,12/9/2002,3,2340,150,8,73.5
2003,7,20/7/2003,21/7/2003,2,2315,500,1,30
2003,7,22/7/2003,24/7/2003,3,2420,280,8,30.5
2003,8,23/8/2003,25/8/2003,3,3000,340,3,116.5
2003,9,1/9/2003,3/9/2003,3,1745,30,9,112
2004,6,8/6/2004,9/6/2004,2,855,660,1,0
2004,7,14/7/2004,16/7/2004,3,2725,25,8,20
2004,8,26/8/2004,27/8/2004,2,1075,120,1,14
2005,8,12/8/2005,13/8/2005,2,1925,300,1,31
2005,9,17/9/2005,18/9/2005,2,1020,670,1,38
2005,9,22/9/2005,26/9/2005,5,5620,290,3,166.5
2006,5,15/5/2006,18/5/2006,4,3300,220,3,23.5
2006,6,27/6/2006,28/6/2006,2,1980,410,1,9
2006,8,1/8/2006,4/8/2006,4,4530,260,3,135
2006,8,9/8/2006,10/8/2006,2,2250,180,1,60.5
