Year,Month,Day,Date,MeanCloudAmount,MeanPressure,TotalEvaporation,TotalRainfall,MeanHumidity,MinTemperature,MeanTemperature,MaxTemperature,MeanUVIndex,TotalSunshine,MeanWindSpeed,IsExtreme,TyphoonSignalHoisted
2000,1,1,2000-01-01,6,1017.8,2.1,0.0,68,11.3,17.7,25.6,2,9.8,6.4,0,0
2000,1,2,2000-01-02,2,1018.0,3.0,0.0,65,10.3,17.6,26.4,2,9.3,5.1,0,0
2000,1,3,2000-01-03,10,1017.5,3.0,0.0,59,15,18.6,23.8,2,9.0,10.2,0,0
2000,1,4,2000-01-04,60,1016.6,2.4,0.0,69,15.5,18.3,23.3,2,3.9,10.4,0,0
2000,1,5,2000-01-05,40,1014.5,2.1,0.0,72,14.2,19.8,26.2,2,6.7,8.3,0,0
2000,1,6,2000-01-06,48,1014.4,2.5,0.0,82,14.2,19.6,26.5,2,7.2,4.6,0,0
2000,1,7,2000-01-07,88,1017.6,2.4,0.0,82,16.8,17.7,19,1,0.6,9.0,0,0
2000,1,8,2000-01-08,46,1016.7,2.5,0.0,74,15.2,17.9,22.3,,8.3,10.4,0,0
2000,1,9,2000-01-09,71,1015.7,1.5,0.0,81,14.9,18.6,23.7,2,2.6,2.0,0,0
2000,1,10,2000-01-10,78,1016.2,3.3,0.0,80,13.6,18.3,24.6,2,5.9,11.3,0,0
2000,1,11,2000-01-11,94,1015.6,2.2,0.0,80,17.4,19.3,22.7,2,2.2,11.3,0,0
2000,1,12,2000-01-12,59,1013.7,2.0,0.0,81,17.6,21.4,27,2,3.9,5.7,0,0
2000,1,13,2000-01-13,90,1013.7,1.8,0.0,80,17.3,19.2,21.7,1,0.0,7.2,0,0
2000,1,14,2000-01-14,92,1014.7,1.3,0.0,80,17.2,17.9,20.1,0.7,0.0,12.0,0,0
2000,1,15,2000-01-15,82,1015.0,2.5,0.0,78,16.3,18.3,22.1,2,3.6,12.8,0,0
2000,1,16,2000-01-16,74,1016.7,2.7,0.0,78,16.6,18.8,22.7,2,4.7,8.0,0,0
2000,1,17,2000-01-17,89,1019.8,2.5,0.0,68,11.7,13.8,16.6,1,0.1,11.2,0,0
2000,1,18,2000-01-18,95,1022.8,2.0,0.0,64,9.7,10.9,12.4,0.8,0.0,13.8,0,0
2000,1,19,2000-01-19,54,1024.5,3.5,0.0,51,7.3,11,15,2,6.7,13.1,0,0
2000,1,20,2000-01-20,19,1025.7,2.8,0.0,59,5.3,11.9,18.1,3,9.0,8.9,0,0
2000,1,21,2000-01-21,85,1026.3,1.6,0.0,64,10.6,14.4,17.2,2,1.9,9.1,0,0
2000,1,22,2000-01-22,89,1021.9,1.2,0.0,65,15.4,17.9,20.4,1,0.1,6.7,0,0
2000,1,23,2000-01-23,100,1018.5,2.8,14.0,92,16.7,18.6,21,1,0.0,6.6,0,0
2000,1,24,2000-01-24,100,1019.3,0.7,66.5,95,16.2,18.1,18.9,0.6,0.0,5.8,0,0
2000,1,25,2000-01-25,100,1025.5,0.4,10.0,76,8.4,10.8,16.2,0.9,0.0,19.6,0,0
2000,1,26,2000-01-26,73,1029.4,2.8,0.0,63,6.1,7.9,11.5,2,2.4,18.5,0,0
2000,1,27,2000-01-27,13,1029.5,3.0,0.0,50,4.6,8,12.7,3,9.7,13.5,0,0
2000,1,28,2000-01-28,55,1027.8,1.7,0.0,65,2.2,8.6,16,2,6.3,5.8,0,0
2000,1,29,2000-01-29,40,1027.5,3.0,0.0,61,9.1,13.4,19.9,2,7.6,5.1,0,0
2000,1,30,2000-01-30,40,1029.8,3.9,0.0,49,8.8,12.7,16.6,3,9.2,14.1,0,0
2000,1,31,2000-01-31,88,1029.7,2.9,0.0,61,8.5,9.8,12,1,0.0,13.7,0,0
2000,2,1,2000-02-01,85,1027.9,3.0,3.0,73,6.1,9,12.3,2,1.3,12.5,0,0
2000,2,2,2000-02-02,88,1025.1,0.5,1.0,80,6.6,9.8,12.4,1,0.1,6.2,0,0
2000,2,3,2000-02-03,88,1021.8,1.5,2.5,81,10.6,13.9,18.7,2,1.3,5.9,0,0
2000,2,4,2000-02-04,86,1019.9,1.5,0.0,78,13.4,16.1,20.6,2,2.9,7.5,0,0
2000,2,5,2000-02-05,28,1018.8,3.0,0.0,77,11.4,17,24.5,3,9.1,6.5,0,0
2000,2,6,2000-02-06,13,1017.9,3.4,0.0,69,10.3,14.8,20.8,3,10.3,7.6,0,0
2000,2,7,2000-02-07,54,1018.0,3.5,0.0,63,9.2,14.8,20.8,3,8.3,8.5,0,0
2000,2,8,2000-02-08,28,1019.7,2.9,0.0,58,6.8,13.2,19.7,3,8.0,8.9,0,0
2000,2,9,2000-02-09,27,1019.6,3.1,0.0,65,10.4,14.3,18.6,3,9.6,8.8,0,0
2000,2,10,2000-02-10,82,1017.5,2.3,0.0,74,12.5,15.8,20,2,3.9,9.7,0,0
2000,2,11,2000-02-11,31,1015.7,3.3,0.0,73,14.9,18.6,24.9,3,10.0,9.9,0,0
2000,2,12,2000-02-12,41,1015.4,2.9,0.0,79,13.7,16.9,22.1,3,8.2,10.6,0,0
2000,2,13,2000-02-13,39,1014.1,3.6,0.0,78,15,17.8,23.2,4,8.7,12.2,0,0
2000,2,14,2000-02-14,16,1015.2,2.9,0.0,79,14,18.8,26.1,3,9.1,6.0,0,0
2000,2,15,2000-02-15,57,1020.1,2.2,0.0,70,13.9,15.9,18.9,2,1.7,9.0,0,0
2000,2,16,2000-02-16,64,1019.6,3.6,0.0,66,13.4,15.7,20.8,3,6.7,10.4,0,0
2000,2,17,2000-02-17,88,1019.1,2.0,0.0,76,14.7,15.9,18.4,2,0.1,10.4,0,0
2000,2,18,2000-02-18,88,1015.8,1.5,0.0,78,15,17.2,21,2,0.2,13.0,0,0
2000,2,19,2000-02-19,88,1011.0,0.3,0.0,84,17,20.7,26.3,1,0.0,5.8,0,0
2000,2,20,2000-02-20,94,1011.4,1.0,2.0,91,13.6,18.5,22.9,0.5,0.0,4.3,0,0
2000,2,21,2000-02-21,95,1015.6,0.1,2.0,91,11.3,13,14.3,0.8,0.0,8.0,0,0
2000,2,22,2000-02-22,100,1014.3,0.2,1.0,91,13.6,14.6,16.1,0.8,0.0,7.3,0,0
2000,2,23,2000-02-23,100,1015.1,0.2,3.5,90,12.3,13.8,15,,0.0,5.3,0,0
2000,2,24,2000-02-24,100,1018.7,0.8,0.0,86,10.4,11.5,12.5,0.7,0.0,7.8,0,0
2000,2,25,2000-02-25,92,1021.0,1.7,1.5,78,9.8,10.8,12,0.9,0.0,12.8,0,0
2000,2,26,2000-02-26,89,1023.4,1.1,2.0,62,8.1,10.3,12.6,2,0.2,15.8,0,0
2000,2,27,2000-02-27,93,1022.5,0.6,0.5,70,9.1,10.3,11.6,0.9,0.0,7.1,0,0
2000,2,28,2000-02-28,95,1022.0,0.7,2.5,88,8.7,10.3,12.5,0.8,0.0,6.0,0,0
2000,2,29,2000-02-29,95,1023.4,0.6,5.5,79,9.6,11.1,13.3,1,0.0,8.1,0,0
2000,3,1,2000-03-01,98,1022.3,1.0,9.5,90,9.3,11.1,12.6,1,0.0,4.5,0,0
2000,3,2,2000-03-02,95,1019.7,1.0,24.5,92,11.5,13.5,16.8,1,0.6,3.1,0,0
2000,3,3,2000-03-03,72,1017.6,1.8,0.0,84,14.3,17.2,21.7,3,3.0,7.7,0,0
2000,3,4,2000-03-04,48,1014.3,2.9,0.0,79,14.8,20,26,4,9.0,8.0,0,0
2000,3,5,2000-03-05,28,1011.5,4.3,0.0,81,13.9,20.3,28.4,4,10.3,6.8,0,0
2000,3,6,2000-03-06,85,1013.3,2.7,0.0,83,16.8,18.5,22.1,2,1.1,10.8,0,0
2000,3,7,2000-03-07,58,1015.3,4.4,0.0,71,16.3,18.5,23.4,4,7.7,11.2,0,0
2000,3,8,2000-03-08,70,1017.1,3.8,0.0,74,14.8,16.8,20.5,3,4.4,11.4,0,0
2000,3,9,2000-03-09,58,1018.7,3.6,0.0,73,13.8,16.1,19.4,3,8.2,12.4,0,0
2000,3,10,2000-03-10,78,1016.3,2.5,0.0,76,14.4,17,21.1,3,4.7,13.7,0,0
2000,3,11,2000-03-11,87,1011.8,0.9,0.5,84,16.1,18.1,21.1,1,0.0,7.2,0,0
2000,3,12,2000-03-12,95,1011.9,1.6,6.5,89,15.5,17,19.4,1,0.1,6.6,0,0
2000,3,13,2000-03-13,92,1014.4,1.6,0.0,85,15.1,17,18.8,2,0.0,9.2,0,0
2000,3,14,2000-03-14,89,1014.9,2.3,0.0,80,16.1,18.8,22.3,3,1.0,12.7,0,0
2000,3,15,2000-03-15,57,1012.4,2.9,0.0,82,17,19.9,24.6,3,5.7,11.2,0,0
2000,3,16,2000-03-16,85,1011.9,1.9,0.5,85,16,18.5,20.9,0.8,0.1,5.5,0,0
2000,3,17,2000-03-17,96,1014.0,3.3,0.0,65,15.5,17,19.3,2,0.1,14.8,0,0
2000,3,18,2000-03-18,89,1012.7,1.5,0.0,75,15.6,18.2,20.7,2,0.2,11.8,0,0
2000,3,19,2000-03-19,89,1013.0,2.7,0.0,78,18.1,20.7,24.2,2,1.3,6.5,0,0
2000,3,20,2000-03-20,74,1014.8,4.4,0.0,60,16.8,19.5,23.2,3,5.8,15.7,0,0
2000,3,21,2000-03-21,58,1014.3,3.4,0.0,64,17.7,20.7,25.7,3,6.7,10.8,0,0
2000,3,22,2000-03-22,21,1013.7,3.4,0.0,80,16.6,21.7,27.8,3,9.2,7.2,0,0
2000,3,23,2000-03-23,52,1015.8,4.3,0.0,78,19.9,22.5,27.4,3,5.7,8.0,0,0
2000,3,24,2000-03-24,67,1019.2,4.6,0.0,65,17.2,19.9,24.2,3,5.3,14.3,0,0
2000,3,25,2000-03-25,61,1020.2,5.0,0.0,55,17.2,19.8,23.6,4,7.6,10.8,0,0
2000,3,26,2000-03-26,73,1020.1,3.2,0.0,66,17.5,19.6,23.2,2,2.1,6.2,0,0
2000,3,27,2000-03-27,17,1016.3,4.3,0.0,74,14.7,19.8,26.7,3,7.9,5.0,0,0
2000,3,28,2000-03-28,22,1014.6,4.0,0.0,70,13.1,21.6,31.8,3,9.9,4.6,0,0
2000,3,29,2000-03-29,20,1017.1,5.7,0.0,69,16.2,21.2,27.2,4,9.9,9.9,0,0
2000,3,30,2000-03-30,56,1014.8,3.8,0.0,60,17.6,21.5,27.2,4,6.7,10.7,0,0
2000,3,31,2000-03-31,86,1009.4,1.5,0.0,80,19.7,23.1,28.2,3,2.8,10.7,0,0
2000,4,1,2000-04-01,86,1006.8,2.8,5.0,85,21.6,23.6,28.4,2,2.7,9.4,0,0
2000,4,2,2000-04-02,92,1009.3,2.0,46.5,86,20.8,21.6,23.1,1,0.0,15.1,1,0
2000,4,3,2000-04-03,93,1009.2,2.3,83.5,95,21.3,22.3,23.6,0.8,0.0,7.5,1,0
2000,4,4,2000-04-04,92,1010.0,0.7,0.0,89,20,21.6,24.5,0.4,0.0,1.3,0,0
2000,4,5,2000-04-05,86,1012.6,1.1,0.0,80,18.3,20.8,24.1,2,1.3,3.6,0,0
2000,4,6,2000-04-06,89,1015.5,2.5,0.5,73,18.2,19.9,22.3,2,0.1,8.1,0,0
2000,4,7,2000-04-07,95,1016.0,1.8,0.0,76,18.7,20.2,22.7,2,0.4,9.5,0,0
2000,4,8,2000-04-08,92,1014.5,1.7,0.0,79,19.9,21.5,24.7,1,0.0,11.3,0,0
2000,4,9,2000-04-09,77,1012.9,2.8,0.0,79,19.8,22.7,27.3,3,4.4,10.6,0,0
2000,4,10,2000-04-10,91,1014.1,1.7,0.0,85,21.2,22.8,25.5,0.8,0.7,5.4,0,0
2000,4,11,2000-04-11,86,1015.5,2.8,0.0,74,19.9,21.3,24.1,2,2.7,12.4,0,0
2000,4,12,2000-04-12,90,1012.0,2.5,0.0,82,19.5,21.7,25.8,3,1.7,8.1,0,0
2000,4,13,2000-04-13,88,1009.0,2.5,24.5,92,20.9,22.6,24.3,2,0.0,6.2,0,0
2000,4,14,2000-04-14,91,1006.7,3.0,259.0,95,22.4,23.3,24.5,2,0.0,2.8,1,0
2000,4,15,2000-04-15,83,1012.7,4.5,7.5,69,19.3,21.5,24,4,3.3,13.3,0,0
2000,4,16,2000-04-16,49,1015.5,5.5,0.0,60,16.4,20.8,26.3,5,10.0,9.5,0,0
2000,4,17,2000-04-17,76,1015.4,4.4,0.0,69,18.4,21.4,25.4,5,7.5,12.2,0,0
2000,4,18,2000-04-18,76,1013.8,4.6,0.0,76,20.5,23.3,28.1,5,7.6,13.4,0,0
2000,4,19,2000-04-19,65,1010.9,3.3,0.0,84,22,25,29.8,5,6.7,8.1,0,0
